ID,Date,Week,Baby,EarlyToBed,Drink,JL, EatTooMuch,washroom,Coding,LearnDaily,Eng,Efficiency,HZ,Score,Comments
1,2020-01-01,星期三,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2,2020-01-02,星期四,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL
3,2020-01-03,星期五,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL
4,2020-01-04,星期六,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL
5,2020-01-05,星期日,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL
6,2020-01-06,星期一,0,0,1,0,1,1,0,0,0,1,1,4.5,NULL
7,2020-01-07,星期二,0,1,1,1,1,1,0,0,0,0,1,5.5,NULL
8,2020-01-08,星期三,0,0,0.5,0,0.5,1,0,1,0,0,0,3,NULL
9,2020-01-09,星期四,0,0,0.5,0,NULL,0,0,0,0,0,0,0.5,NULL
10,2020-01-10,星期五,NULL,NULL,0.5,0,NULL,NULL,NULL,NULL,NULL,NULL,1,1,NULL
11,2020-01-11,星期六,NULL,1,1,1,1,NULL,NULL,NULL,0,NULL,NULL,4,NULL
12,2020-01-12,星期日,NULL,1,1,0,0.5,NULL,NULL,NULL,0,NULL,NULL,2.5,NULL
13,2020-01-13,星期一,0.5,0,0,1,0,0,0,1,0,NULL,NULL,2.5,NULL
14,2020-01-14,星期二,0,0,0.5,0,0,NULL,0,0,0,NULL,NULL,0.5,NULL
15,2020-01-15,星期三,NULL,NULL,0.5,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1.5,NULL
16,2020-01-16,星期四,0,0,0,0,1,0,0,0,0,0.5,NULL,1.5,NULL
17,2020-02-12,星期三,NULL,0,1,0,0.5,1,0,0,0,0,NULL,2.5,NULL
18,2020-02-13,星期四,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL
19,2020-02-14,星期五,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL
20,2020-02-15,星期六,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL
21,2020-02-16,星期日,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL
22,2020-02-17,星期一,0,0,0,1,1,1,0,0,0,1,1,4.5,NULL
23,2020-02-18,星期二,0,0,0,0,1,1,0,0,0,0.5,1,3,NULL
24,2020-02-19,星期三,0,1,0,1,1,1,0,0,0,0,1,4.5,NULL
25,2020-02-20,星期四,0,0,0,0,1,1,1,0,0,1,1,4.5,NULL
26,2020-02-21,星期五,NULL,NULL,0,0,0,0,1,NULL,NULL,NULL,NULL,1,NULL
27,2020-02-22,星期六,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL
28,2020-02-23,星期日,NULL,0,1,0,0,1,0,0,0,NULL,1,2.5,NULL
29,2020-02-24,星期一,0,1,0,0,1,1,0,1,0,1,1,5.5,NULL
30,2020-02-25,星期二,0,1,0,0,1,0,1,0.5,0,NULL,NULL,3.5,NULL
31,2020-02-26,星期三,0,0,0,0,0,0,1,0.5,0,0,NULL,1.5,NULL
32,2020-02-27,星期四,NULL,NULL,0,0,NULL,NULL,1,NULL,NULL,0,NULL,1,NULL
33,2020-02-28,星期五,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
34,2020-02-29,星期六,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
35,2020-03-01,星期日,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
36,2020-03-02,星期一,0,0,1,1,0.5,1,0,0,0,1,1,5,NULL
37,2020-03-03,星期二,0,0,1,0,1,1,0.5,0,0,NULL,NULL,3.5,NULL
38,2020-03-04,星期三,0,0,0,0,1,1,1,0,0,0,1,3.5,NULL
39,2020-03-05,星期四,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
40,2020-03-06,星期五,0,0,0.5,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
41,2020-03-07,星期六,NULL,0,1,0,NULL,NULL,1,NULL,NULL,NULL,NULL,2,NULL
42,2020-03-08,星期日,1,0.5,0,1,0,1,1,NULL,0,NULL,NULL,4.5,NULL
43,2020-03-09,星期一,NULL,NULL,0,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,NULL
44,2020-03-10,星期二,NULL,1,0.5,0,0.5,1,0.5,0,0,NULL,NULL,3.5,NULL
45,2020-03-11,星期三,NULL,NULL,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
46,2020-03-12,星期四,NULL,NULL,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
47,2020-03-13,星期五,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
48,2020-03-14,星期六,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
49,2020-03-15,星期日,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
50,2020-03-16,星期一,NULL,NULL,0.5,0,NULL,1,1,NULL,NULL,NULL,NULL,2.5,NULL
51,2020-03-17,星期二,NULL,NULL,0.5,1,NULL,1,1,NULL,NULL,NULL,NULL,3.5,NULL
52,2020-03-18,星期三,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
53,2020-03-19,星期四,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
54,2020-03-20,星期五,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
55,2020-03-21,星期六,NULL,NULL,1,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,NULL
56,2020-03-22,星期日,NULL,NULL,1,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,NULL
57,2020-03-23,星期一,0,1,0,1,0,1,0,0,0,1,1,4.5,NULL
58,2020-03-24,星期二,0,NULL,0,1,1,1,1,1,1,0.5,1,7,NULL
59,2020-03-25,星期三,0,0,0,0,0,1,0.5,0,0,1,1,3,NULL
60,2020-03-26,星期四,0,1,0.5,0,1,1,1,0,1,1,1,7,NULL
61,2020-03-27,星期五,0,0,0,1,0,1,0,0,0,NULL,NULL,2,NULL
62,2020-03-28,星期六,NULL,NULL,1,0.5,NULL,NULL,1,NULL,NULL,NULL,NULL,2.5,NULL
63,2020-03-29,星期日,1,NULL,1,1,0,1,1,0,0,NULL,NULL,5,NULL
64,2020-03-30,星期一,0,NULL,0.5,0,1,1,1,1,1,0.5,NULL,6,NULL
65,2020-03-31,星期二,0,NULL,0.5,0,0,1,0.5,0.5,1,NULL,NULL,3.5,NULL
66,2020-04-01,星期三,0,0,0.5,0,0.5,1,0,1,1,NULL,NULL,4,NULL
67,2020-04-02,星期四,0,0,0,0,1,1,0,0,1,1,NULL,4,NULL
68,2020-04-03,星期五,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL
69,2020-04-04,星期六,NULL,NULL,1,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2,NULL
70,2020-04-05,星期日,NULL,NULL,1,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2,NULL
71,2020-04-06,星期一,NULL,NULL,1,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2,NULL
72,2020-04-07,星期二,0,0,0.5,0,0.5,1,1,0.5,1,0.5,1,5.5,NULL
73,2020-04-08,星期三,NULL,NULL,0.5,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1.5,NULL
74,2020-04-09,星期四,NULL,0,0.5,0,0,1,1,1,1,NULL,NULL,4.5,NULL
75,2020-04-10,星期五,NULL,NULL,1,0,0,1,1,NULL,NULL,0.5,NULL,3.5,NULL
76,2020-04-11,星期六,NULL,NULL,0,1,NULL,NULL,NULL,NULL,0,NULL,0,1,NULL
77,2020-04-12,星期日,1,1,0,0,0,NULL,1,NULL,0,1,0,4,NULL
78,2020-04-13,星期一,NULL,NULL,0.5,0,NULL,NULL,NULL,NULL,NULL,0,NULL,0.5,NULL
79,2020-04-14,星期二,0,1,0.5,0,1,1,0.5,0,0,0.5,NULL,4.5,NULL
80,2020-04-15,星期三,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL
81,2020-04-16,星期四,NULL,0,0.5,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1.5,NULL
82,2020-04-17,星期五,NULL,NULL,0.5,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.5,NULL
83,2020-04-18,星期六,NULL,NULL,1,1,NULL,NULL,NULL,NULL,0,NULL,NULL,2,NULL
84,2020-04-19,星期日,1,1,1,0,0,1,0,0,0,NULL,NULL,4,NULL
85,2020-04-20,星期一,0,1,0,1,1,1,1,1,0,1,NULL,7,NULL
86,2020-04-21,星期二,NULL,NULL,0.5,0,1,1,0.5,NULL,NULL,NULL,NULL,3,NULL
87,2020-04-22,星期三,NULL,NULL,0.5,0,NULL,1,NULL,NULL,0,0.5,NULL,NULL,NULL
88,2020-04-23,星期四,NULL,1,0,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
89,2020-04-24,星期五,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
90,2020-04-25,星期六,NULL,NULL,1,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
